,restaurant,cuisines,average check,number of reviews,user's rating
485,Ресторан Дамас,"Средиземноморская,Ближневосточная,Морепродукты,Европейская,Ливанская,Центральноевропейская",1500,132,4.0
486,Ароматная река,"Вьетнамская,Подходит для вегетарианцев",700,79,4.5
487,Ресторан Кеци,Подходит для вегетарианцев,1500,102,4.5
488,Cristal Room Baccarat,"Европейская,Центральноевропейская,Французская,Морепродукты",3000,63,4.5
489,Menu,"Французская,Европейская",3000,91,4.5
490,Гудман Стейк-Хаус,"Стейк-хаус,Бар,Барбекю,Европейская,Центральноевропейская,Американская",1500,211,4.5
491,Scrocchiarella,"Итальянская,Пицца,Подходит для вегетарианцев,Для веганов",1500,139,4.0
492,Балчуг гриль,"Европейская,Русская,Центральноевропейская",3000,75,4.5
493,Ресторан Shake Shack,"Американская,Фастфуд",1500,232,4.0
494,АйДаБаран,"Европейская,Международная,Гриль",1500,121,4.0
495,Florentini City Cafe,"Итальянская,Подходит для вегетарианцев,Для веганов",1500,102,4.5
496,Кофемания,"Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,146,4.0
497,Кафе Рецептор,"Китайская,Индийская,Азиатская,Европейская,Здоровая",3000,62,4.5
498,Мясо,"Стейк-хаус,Барбекю,Европейская,Центральноевропейская",1500,117,4.0
499,Rose Bar Moscow,"Морепродукты,Средиземноморская,Европейская,Центральноевропейская,Бар,Фьюжн,Подходит для вегетарианцев,Для веганов",1500,131,4.0
500,Дабл Би,Кафе,1500,169,4.5
501,АндерСон,"Русская,Подходит для вегетарианцев",1500,64,4.5
502,Пивной Ресторан Ян Примус,Европейская,1500,94,4.5
503,Валенок,"Французская,Магазин готовой еды,Супы,Европейская,Русская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,519,4.0
504,Шанти,"Азиатская,Тайская,Вьетнамская,Фьюжн,Подходит для вегетарианцев",1500,92,4.5
505,ПЛАМ ресторан,"Итальянская,Европейская,Тайская,Русская",1500,67,4.5
506,Будвар,Центральноевропейская,1500,179,4.5
507,Бистро и Бар Чугунный Мост,"Европейская,Паб,Гастропаб,Бар,Фьюжн",1500,131,4.0
508,Антон Палыч,Европейская,1500,28,5.0
509,Ресторан-Теплоход Ласточка,"Итальянская,Японская,Средиземноморская,Европейская,Азиатская",3000,100,4.5
510,Upside Down Cake & Co,"Американская,Кафе,Европейская,Подходит для вегетарианцев",1500,170,4.0
511,Теремок,"Фастфуд,Русская,Подходит для вегетарианцев",700,147,4.0
512,Бар Герои,"Американская,Бар,Фьюжн",1500,60,4.5
513,Пекарня Мишеля,"Французская,Европейская,Центральноевропейская",1500,190,4.0
514,Козловица,"Бар,Европейская,Паб,Чешская,Паб с пивоварней",1500,169,4.0
515,Кофейня Coffee Bean,"Кафе,Европейская,Современная",1500,66,4.5
516,Шатер,"Европейская,Подходит для вегетарианцев",1500,80,4.0
517,Иль Форно,"Итальянская,Пицца,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов",1500,162,4.0
518,Fish Point на Симферопольском шоссе,Русская,1500,95,4.5
519,Тоже Паб,"Бар,Ирландская,Европейская,Паб,Центральноевропейская",1500,32,5.0
520,Brawler's Pub,"Ирландская,Европейская,Бар,Британская,Паб",1500,63,4.5
521,Cheese Connection,"Европейская,Подходит для вегетарианцев",1500,119,4.0
522,Ит & Ток,"Бар,Кафе,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,177,4.0
523,Nofar,"Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,70,4.5
524,Шатер,"Морепродукты,Европейская,Американская,Ближневосточная,Подходит для вегетарианцев,Для веганов",1500,219,4.0
525,Calicano,"Мексиканская,Американская,Латиноамериканская,Бар,Испанская,Паб",1500,77,4.5
526,Русская Закусочная,"Морепродукты,Русская,Восточноевропейская",1500,60,4.5
527,The 12 Wine Bar,Европейская,1500,31,5.0
528,Лучиано,"Итальянская,Пицца,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,172,4.0
529,Ив. Дурдинъ,"Европейская,Русская,Центральноевропейская,Гриль",1500,133,4.0
530,Гандара,"Индийская,Европейская,Азиатская,Пакистанская,Ближневосточная,Халяль,Подходит для вегетарианцев,Для веганов",1500,74,4.5
531,Корчма Тарас Бульба,"Восточноевропейская,Украинская",1500,69,4.5
532,Кафе Amici,"Итальянская,Европейская,Французская,Пицца,Средиземноморская,Винный бар",1500,119,4.0
533,Типси паб,"Бар,Паб",1500,90,4.5
534,Vаниль,"Французская,Морепродукты,Средиземноморская,Европейская,Гриль,Русская,Центральноевропейская,Подходит для вегетарианцев",3000,186,4.0
535,"Бар ""Подозрительные лица""","Европейская,Центральноевропейская",700,27,5.0
536,Цветение сакуры,"Японская,Морепродукты,Суши,Подходит для вегетарианцев",1500,123,4.0
537,Китайские новости,"Китайская,Азиатская,Бар,Кафе,Здоровая,Тайваньская,Подходит для вегетарианцев",1500,79,4.5
538,Братья Караваевы,"Русская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",700,109,4.0
539,Да Пино,"Европейская,Гриль,Итальянская,Пицца,Морепродукты",1500,50,4.5
540,Бакинский бульвар,"Европейская,Современная,Ближневосточная",1500,83,4.5
541,Джонджоли,"Гриль,Ближневосточная,Подходит для вегетарианцев,Для веганов",1500,96,4.5
542,Корчма Тарас Бульба,"Русская,Украинская,Подходит для вегетарианцев",1500,100,4.5
543,Конверсейшн,"Американская,Кафе,Европейская,Подходит для вегетарианцев",1500,214,4.0
544,Журфак,"Европейская,Русская",1500,111,4.0
545,Мумий Тролль Мьюзик бар,"Бар,Международная,Русская,Морепродукты,Европейская,Паб",1500,310,4.0
546,Менза,"Японская,Азиатская,Тайская,Китайская,Суши,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,133,4.0
547,NUDE,"Кафе,Европейская,Винный бар,Центральноевропейская",1500,80,4.5
548,Авокадо,"Индийская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,98,4.5
549,Вареничная №1,"Украинская,Русская,Подходит для вегетарианцев,Для веганов",700,395,4.0
550,Кальянная - Мята Lounge | Moscow,Европейская,3000,69,4.5
551,Чайхана Шурпа,"Ближневосточная,Восточноевропейская,Подходит для вегетарианцев,Для веганов,Халяль,Безглютеновые блюда",1500,150,4.0
552,Вареничная №1,"Русская,Украинская,Подходит для вегетарианцев,Для веганов",1500,934,4.0
553,Колхида,"Международная,Грузинская",1500,104,4.0
554,Руккола,"Итальянская,Пицца,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,328,4.0
555,Ти-Бон Wine,"Стейк-хаус,Европейская",3000,97,4.5
556,Стейк-хаус Ти-Бон Wine,"Русская,Стейк-хаус,Барбекю,Европейская",1500,101,4.5
557,Абажур Домашнее кафе,"Кафе,Русская,Европейская,Подходит для вегетарианцев",1500,47,4.5
558,Бабетта,"Американская,Европейская,Здоровая,Итальянская,Пицца,Средиземноморская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,329,4.0
559,Корчма Тарас Бульба,"Здоровая,Винный бар,Украинская,Подходит для вегетарианцев,Для веганов",1500,120,4.5
560,Ресторан-яхта «Чайка»,"Европейская,Итальянская,Морепродукты,Средиземноморская,Восточноевропейская,Центральноевропейская,Азиатская",3000,146,4.5
561,Fish Point на Новорижском шоссе,"Гриль,Морепродукты,Русская",3000,125,4.5
562,Андерсон,"Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,175,4.5
563,Кольчуга,"Гриль,Русская",1500,54,4.5
564,Дом 12,"Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,132,4.0
565,Жигули,"Бар,Европейская,Русская",1500,236,4.0
566,Ресторан Местечко,"Европейская,Израильская,Ближневосточная,Кошерная",1500,38,4.5
567,Chez Maman,"Французская,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,159,4.0
568,Итальянское кафе Пекорино,Европейская,1500,95,4.5
569,Аист,"Японская,Русская,Итальянская,Подходит для вегетарианцев,Для веганов",3000,274,4.0
570,Теремок,"Русская,Восточноевропейская,Европейская,Центральноевропейская",700,65,4.5
571,Брусника кондитерская-кулинария,"Европейская,Русская,Подходит для вегетарианцев,Для веганов",1500,148,4.0
572,What a Pita,"Средиземноморская,Израильская,Ближневосточная,Фастфуд,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда,Кошерная",700,45,4.5
573,Джей Хинд,"Индийская,Азиатская,Подходит для вегетарианцев,Для веганов",1500,96,4.5
574,Му-Му,"Японская,Европейская,Русская,Восточноевропейская",700,167,4.0
575,Бараshка,"Ближневосточная,Восточноевропейская,Для веганов",1500,124,4.0
576,Луч,"Азиатская,Бар,Суши,Европейская,Гастропаб,Центральноевропейская,Подходит для вегетарианцев",1500,173,4.0
577,В ТЕМНОТЕ?!,"Европейская,Подходит для вегетарианцев,Для веганов",1500,227,4.0
578,Джимми Ли,"Китайская,Азиатская,Морепродукты,Подходит для вегетарианцев,Для веганов",1500,82,4.5
579,бар Разведка,"Итальянская,Европейская,Британская,Ближневосточная,Русская",1500,62,4.5
580,Nord 55 Moscow,"Международная,Морепродукты,Средиземноморская",1500,46,4.5
581,Хинкали Хаус,Гриль,1500,80,4.5
582,Торро Гриль,Стейк-хаус,1500,68,4.5
583,Хлеб Насущный,"Международная,Европейская,Подходит для вегетарианцев,Для веганов",1500,246,4.0
584,Бар-буфет Николай,"Бар,Европейская,Паб,Русская",1500,83,4.5
585,Lure Oyster Bar,"Средиземноморская,Европейская,Морепродукты,Фьюжн",1500,24,5.0
586,Труффальдино,"Пицца,Итальянская,Морепродукты,Подходит для вегетарианцев",1500,83,4.0
587,Яръ,"Европейская,Восточноевропейская,Русская",3000,123,4.0
588,Белфаст,"Ирландская,Европейская",1500,75,4.5
589,Osteria Mario,"Итальянская,Морепродукты,Пицца,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,134,4.0
590,Ермак,"Современная,Русская,Супы,Подходит для вегетарианцев,Для веганов",3000,93,4.5
591,Burger Story,Американская,1500,54,4.5
592,Mollie’s,"Ирландская,Бар,Европейская,Паб,Центральноевропейская",1500,119,4.0
593,Zest Coffee&Wine;,"Европейская,Подходит для вегетарианцев,Для веганов",1500,43,4.5
594,Бенвенуто,Итальянская,1500,95,4.0
595,Пинцерия Бонтемпи,"Итальянская,Подходит для вегетарианцев",1500,25,5.0
596,Швили,"Грузинская,Подходит для вегетарианцев,Для веганов",1500,76,4.5
597,Кафе Сайгон,"Кафе,Вьетнамская",700,89,4.5
598,Уютное место,"Итальянская,Европейская,Подходит для вегетарианцев,Для веганов",1500,50,4.5
599,Ламбик,"Бельгийская,Европейская",1500,88,4.0
600,Тильда,"Европейская,Азиатская,Скандинавская",1500,29,5.0
601,Дед Пихто,"Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев",1500,107,4.5
602,Хачапурия,"Восточноевропейская,Подходит для вегетарианцев",1500,133,4.0
603,Панч & Джуди,"Бар,Европейская,Паб,Центральноевропейская",1500,175,4.0
604,"Семейное Кафе ""АндерСон на Даче""","Европейская,Подходит для вегетарианцев,Для веганов",1500,107,4.0
605,Нур,"Бар,Европейская,Международная,Современная",1500,132,4.0
606,The Lounge,"Бар,Морепродукты,Паб",1500,38,4.5
607,Тайм Аут Бар,"Бар,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,261,4.0
608,Бункер-42,"Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев",1500,108,4.0
609,Фотоувеличение,"Кафе,Паб,Фьюжн,Винный бар,Гастропаб,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,24,5.0
610,Рассольников,"Европейская,Русская,Подходит для вегетарианцев",1500,65,4.5
611,Простые вещи,"Европейская,Винный бар,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,220,4.0
612,Батчери,"Европейская,Гриль,Винный бар,Центральноевропейская",1500,90,4.0
613,Примавера,"Итальянская,Морепродукты,Европейская,Подходит для вегетарианцев,Для веганов",1500,106,4.0
614,Гудман,Стейк-хаус,1500,95,4.0
615,Илларион,Кафе,700,94,4.5
616,АндерСон для Пап,"Кафе,Европейская",1500,132,4.0
617,"Ресторан ""На Мосфильмовской""","Итальянская,Европейская,Русская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,105,4.5
618,Mendeleev Bar,Бар,1500,166,4.0
619,Bro&n; Pizzeria,"Итальянская,Пицца,Средиземноморская,Подходит для вегетарианцев",1500,78,4.0
620,Laffa Laffa,"Ливанская,Ближневосточная,Израильская,Подходит для вегетарианцев,Для веганов",1500,121,4.0
621,Вареничная №1,"Русская,Для веганов,Подходит для вегетарианцев",1500,267,4.0
622,"Кафе-буузная ""Алтаргана""","Азиатская,Монгольская",1500,42,4.5
623,Кафе Музея Гараж,"Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,81,4.5
624,Кафе Блан де Блан,"Французская,Средиземноморская,Европейская,Подходит для вегетарианцев",1500,72,4.5
625,"Бар-буфет ""Николай""","Бар,Европейская,Паб,Русская",700,71,4.5
626,Rustic,"Итальянская,Пицца,Подходит для вегетарианцев",1500,67,4.5
627,Ресторан Дизайн,"Итальянская,Средиземноморская,Европейская,Русская",1500,71,4.5
628,Craft Kitchen,"Средиземноморская,Европейская,Азиатская,Паб,Фьюжн,Гастропаб,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,99,4.5
629,Родные люди,Подходит для вегетарианцев,1500,54,4.5
630,Виват Пицца,"Итальянская,Пицца",1500,70,4.5
631,Бар Mandarin Combustible,"Китайская,Бар,Азиатская,Европейская,Подходит для вегетарианцев",1500,143,4.0
632,Black Star Burger,"Фастфуд,Американская,Европейская,Подходит для вегетарианцев,Для веганов,Халяль",700,310,4.0
633,"Кафе ""Натахтари"" на Сретенке",Грузинская,1500,122,4.5
634,Ромбус Кафе и Бар,"Французская,Европейская,Бар,Кафе,Паб,Средиземноморская,Подходит для вегетарианцев,Для веганов",1500,53,5.0
635,Хинкальная,Восточноевропейская,1500,137,4.0
636,Jeffrey's Coffee на Арбате,Американская,700,31,4.5
637,StrEAT,"Американская,Испанская,Индейская,Израильская,Грузинская",3000,35,4.5
638,Тануки на Пятницкой 53,"Японская,Суши,Азиатская,Подходит для вегетарианцев,Для веганов",1500,170,4.0
639,Шоколадница,"Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,193,4.0
640,Мицва Бар,"Израильская,Бар,Для веганов,Подходит для вегетарианцев",1500,155,4.0
641,Микроб,Европейская,1500,83,4.0
642,Beluga Caviar Bar,"Европейская,Русская,Восточноевропейская,Морепродукты",3000,76,4.5
643,Булошная,"Средиземноморская,Европейская,Русская,Французская",1500,72,4.5
644,Ресторан Грузинской Кухни,"Европейская,Русская,Грузинская,Подходит для вегетарианцев",1500,44,4.5
645,Нани,"Ближневосточная,Восточноевропейская,Подходит для вегетарианцев",1500,105,4.5
646,Кафе-Хинкальная Рача,"Европейская,Кавказская,Грузинская",1500,46,4.5
647,Боргато,"Итальянская,Средиземноморская,Европейская,Русская",1500,91,4.5
648,Пиросмани,Подходит для вегетарианцев,1500,106,4.0
649,Ресторан Жизнь Пи,"Индийская,Азиатская,Подходит для вегетарианцев,Для веганов",1500,148,4.0
650,Пельменная лавка,"Европейская,Русская,Восточноевропейская",700,22,5.0
651,Бакинский Дворик,"Морепродукты,Европейская,Гриль,Ближневосточная,Израильская,Подходит для вегетарианцев",1500,57,4.5
652,Своя компания,Международная,3000,59,4.5
653,Остерия il Массимо,"Итальянская,Подходит для вегетарианцев",1500,71,4.5
654,Tutta La Vita,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Подходит для вегетарианцев",1500,164,4.0
655,Корчма Тарас Бульба,"Европейская,Русская,Супы,Украинская",1500,106,4.0
656,Мясной ресторан 45°/60°,"Стейк-хаус,Европейская",1500,67,4.5
657,Ресторан Брайтон,"Европейская,Русская",1500,56,4.5
658,Де Марко,"Европейская,Итальянская,Японская,Суши",1500,49,4.5
659,"Ресторан ""Базар"" ТРЦ Columbus","Итальянская,Европейская,Здоровая,Русская,Гриль",700,42,4.5
660,Винотека Grape,"Европейская,Винный бар",1500,30,5.0
661,Кафе & Гриль «Мясо Ели Мужики»,"Барбекю,Бар,Европейская,Гриль,Паб",1500,96,4.0
662,Фюжн плаза,"Индийская,Азиатская,Для веганов",1500,45,4.5
663,Ресторан Абрамовъ,"Европейская,Русская,Подходит для вегетарианцев,Для веганов",1500,28,5.0
664,Де Марко,"Итальянская,Фьюжн,Подходит для вегетарианцев",1500,57,4.5
665,Спеттаколо,"Итальянская,Пицца,Морепродукты,Средиземноморская,Фьюжн,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,86,5.0
666,Бразилиан Ресторан,"Бразильская,Латиноамериканская,Бар,Кафе,Паб,Подходит для вегетарианцев",1500,159,4.0
667,Seven,"Международная,Средиземноморская,Современная,Винный бар,Морепродукты,Подходит для вегетарианцев",1500,61,4.5
668,Зотман Пицца Пай,"Европейская,Итальянская,Американская,Пицца,Подходит для вегетарианцев",1500,56,4.5
669,Eataly,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,159,4.0
670,Ресторан Ц.Д.Л.,"Русская,Подходит для вегетарианцев",3000,181,4.5
671,Брикс Бар,"Винный бар,Центральноевропейская,Бар,Европейская",1500,78,4.5
672,Chef Steak&Bar;,"Стейк-хаус,Барбекю,Турецкая",3000,115,4.0
673,Шоколад,"Японская,Европейская,Подходит для вегетарианцев",1500,85,4.0
674,ДАБЛБИ,Кафе,1500,61,4.5
675,Bella Pasta,"Итальянская,Подходит для вегетарианцев",1500,99,4.0
676,Че Аргентино,"Бразильская,Испанская,Гриль,Аргентинская,Южноамериканская",1500,57,4.5
677,Cocktailnaya Bar,"Бар,Европейская,Стейк-хаус,Гриль,Гастропаб,Подходит для вегетарианцев",1500,55,5.0
678,Курвуазье,Европейская,1500,92,4.0
679,Трактир Пожарского,Русская,3000,39,4.5
680,Домашний Компот,"Европейская,Русская",700,32,4.5
681,Ресторан La Taverna,"Итальянская,Французская,Морепродукты,Средиземноморская,Европейская,Греческая",1500,111,4.0
682,Кафе Арарат,"Армянская,Кавказская",1500,56,4.5
683,Шоколад,"Японская,Европейская",1500,57,4.5
684,Рибамбель Грин,Европейская,1500,93,4.0
685,Обед Буфет Метрополис,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",700,142,4.0
686,Шикари,"Азиатская,Тайская,Индонезийская,Подходит для вегетарианцев,Для веганов",1500,35,4.5
687,Вареничная №1,"Русская,Европейская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев",1500,78,4.0
688,Траттория Примавера,Итальянская,1500,133,4.0
689,Последняя капля,"Бар,Европейская,Паб,Русская",1500,90,4.5
690,True Burgers,Подходит для вегетарианцев,700,79,4.5
691,Джон Донн Паб,"Бар,Европейская,Британская,Паб",1500,148,4.0
692,Madwinebar,"Европейская,Подходит для вегетарианцев,Для веганов",1500,50,4.5
693,Чайхона №1,"Японская,Пицца,Морепродукты,Международная,Европейская,Фьюжн,Узбекская,Подходит для вегетарианцев",1500,63,4.5
694,Florentini City Cafe,"Итальянская,Морепродукты,Европейская,Супы,Центральноевропейская",1500,76,4.5
695,Sky Food Cafe,"Итальянская,Французская,Испанская,Фьюжн,Русская,Подходит для вегетарианцев",1500,37,4.5
696,Да Пино,"Пицца,Европейская,Итальянская,Морепродукты,Гриль",1500,116,4.0
697,Food Embassy by Julia Vysotskaya,"Итальянская,Американская,Испанская,Русская,Европейская,Для веганов,Подходит для вегетарианцев",1500,295,3.5
698,Брассери Ламбик,"Европейская,Гриль",1500,60,4.0
699,OVO by Carlo Cracco,"Итальянская,Морепродукты,Средиземноморская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,45,5.0
700,"Бар ""Шаляпин""","Бар,Европейская,Русская,Центральноевропейская",1500,52,4.5
701,Ресторан Армения,"Ближневосточная,Армянская,Европейская,Восточноевропейская,Подходит для вегетарианцев",1500,141,4.0
702,"Клуб ""16 Тонн""","Паб с пивоварней,Бар,Европейская,Гриль",1500,164,4.0
703,Долмама,"Европейская,Восточноевропейская,Армянская,Ближневосточная",3000,61,4.5
704,Hills,"Средиземноморская,Европейская,Гриль,Французская,Подходит для вегетарианцев",1500,56,4.5
705,Zю,"Итальянская,Японская,Азиатская,Тайская,Вьетнамская,Малазийская,Китайская,Кафе,Подходит для вегетарианцев",1500,118,4.0
706,G. Graf,"Средиземноморская,Европейская,Магазин готовой еды,Фьюжн,Современная",3000,37,4.5
707,Смитс английский паб,"Европейская,Паб,Гастропаб,Бар,Подходит для вегетарианцев",1500,35,4.5
708,Остерия Марио,"Итальянская,Европейская,Подходит для вегетарианцев,Для веганов",1500,90,4.0
709,Ulysses Pub,"Ирландская,Международная,Европейская,Паб,Винный бар",1500,32,4.5
710,Fumisawa Sushi,"Японская,Морепродукты,Суши,Азиатская,Подходит для вегетарианцев",3000,84,4.0
711,Пауланер Браухаус Олимпик,"Немецкая,Европейская,Центральноевропейская,Бар,Паб,Подходит для вегетарианцев",1500,85,4.0
712,"Чешская пивная ""Пилзнер""","Бар,Европейская,Паб,Чешская,Гриль",1500,122,4.0
713,Оптимист,"Европейская,Хорватская,Центральноевропейская",1500,105,4.0
714,"Бар-буфет ""Николай""","Европейская,Русская,Бар",1500,52,4.5
715,Иль Питторе,"Итальянская,Пицца,Морепродукты,Средиземноморская,Подходит для вегетарианцев,Для веганов",1500,75,4.5
716,Лёд & Пламя,"Стейк-хаус,Морепродукты,Европейская,Международная,Паб,Гастропаб",1500,31,4.5
717,Булка,"Европейская,Центральноевропейская,Кафе",1500,127,4.0
718,Бабай Клаб,"Узбекская,Подходит для вегетарианцев",1500,24,5.0
719,Урюк,"Европейская,Узбекская,Кавказская",1500,64,4.5
720,Гин-но Таки,"Японская,Морепродукты,Суши,Азиатская,Восточноевропейская,Гриль,Для веганов",1500,233,4.0
721,H.A.N.D. Have A Nice Day,"Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,64,4.5
722,Джонджоли,"Восточноевропейская,Подходит для вегетарианцев",1500,129,4.0
723,"Чешская пивная ""Пилзнер""","Бар,Европейская,Паб,Чешская,Восточноевропейская,Центральноевропейская",1500,161,4.0
724,Ресторан Дубрава,"Средиземноморская,Европейская,Русская",1500,69,4.5
725,Бик Кау,"Морепродукты,Вьетнамская,Барбекю,Гриль,Подходит для вегетарианцев",1500,64,4.5
726,Корчма Тарас Бульба,"Украинская,Подходит для вегетарианцев,Для веганов",1500,193,4.5
727,Howard Loves Craft,"Бар,Паб",1500,31,4.5
728,Хлеб и Вино,"Европейская,Центральноевропейская",1500,131,4.0
729,Ла Боттега,"Итальянская,Европейская,Винный бар,Средиземноморская",1500,128,4.5
730,Якитория,"Суши,Японская",1500,84,4.0
731,Клубный Дом SVOY,"Европейская,Современная,Фьюжн,Подходит для вегетарианцев,Для веганов",1500,49,5.0
732,19 Bar & Atmosphere,"Итальянская,Средиземноморская,Морепродукты",1500,69,4.0
733,Двор кафе,"Итальянская,Японская,Кафе,Европейская",1500,44,4.5
734,Московское Небо,"Кафе,Гриль,Современная,Винный бар,Русская",1500,123,4.0
735,Пицца Аморэ,"Итальянская,Пицца",1500,70,4.5
736,Тапчан,"Японская,Европейская,Ближневосточная,Фьюжн",1500,99,4.0
737,Бабай-клаб,"Азиатская,Фьюжн,Ближневосточная,Восточноевропейская,Подходит для вегетарианцев",1500,106,4.0
738,Бон Апп кафе,"Итальянская,Европейская,Русская,Центральноевропейская,Бар,Кафе,Подходит для вегетарианцев",1500,78,4.5
739,Ресторан Garden Lounge,Европейская,3000,51,4.5
740,Аруба,"Карибская,Бар,Русская,Кубинская,Испанская",1500,56,4.5
741,Белая Русь,"Русская,Восточноевропейская,Центральноевропейская,Европейская,Подходит для вегетарианцев",1500,111,4.0
742,Il Pittore,"Итальянская,Морепродукты,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов",1500,151,4.0
743,Эмпорио Армани Кафе,"Кафе,Европейская,Японская,Бар",1500,64,4.0
744,Ресторан Веранда,"Центральноевропейская,Средиземноморская,Европейская,Русская,Подходит для вегетарианцев",3000,51,4.5
745,Козловица,"Европейская,Чешская,Центральноевропейская",1500,111,4.0
746,Мясо & Рыба,Русская,1500,100,4.0
747,Синяя река,"Вьетнамская,Гриль,Подходит для вегетарианцев",1500,58,4.5
748,Экспресс Буфет,"Европейская,Русская",700,36,4.5
749,Хон Гиль Дон,"Китайская,Азиатская,Корейская,Вьетнамская,Бар",1500,56,4.0
750,Пиацца Итальяна,"Средиземноморская,Итальянская,Морепродукты,Гриль,Подходит для вегетарианцев",3000,49,4.5
751,Дринкит,Европейская,700,46,4.5
752,Хаджурао,"Индийская,Азиатская,Для веганов",1500,112,4.0
753,True Cost Прожектор,"Международная,Европейская,Подходит для вегетарианцев,Для веганов",1500,203,4.0
754,Корчма Тарас Бульба,"Восточноевропейская,Украинская,Подходит для вегетарианцев",1500,78,4.5
755,Ланчерия Лафлафель,"Индийская,Израильская,Подходит для вегетарианцев,Для веганов",1500,69,4.5
756,Ресторан Ноян Тун,"Европейская,Армянская,Восточноевропейская,Центральноевропейская",1500,92,4.5
757,Arbat Beer & Grill,"Стейк-хаус,Морепродукты,Европейская,Гриль,Русская",3000,43,4.5
758,Тифлисский Дворик,"Грузинская,Подходит для вегетарианцев,Для веганов",1500,149,4.0
759,Bocconcino,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Гриль,Супы",1500,88,4.0
760,ERWIN.РЕКА,Русская,1500,46,4.5
761,Чебуречная,Русская,700,56,4.0
762,Паб Бостон,"Ирландская,Европейская",1500,79,4.0
763,Чайна Дрим,"Китайская,Морепродукты,Подходит для вегетарианцев",1500,87,4.0
764,Эль Гаучито,"Стейк-хаус,Латиноамериканская,Аргентинская,Европейская,Гриль,Центральноевропейская,Южноамериканская,Подходит для вегетарианцев",3000,56,4.5
765,Цубаки,"Японская,Морепродукты,Суши,Подходит для вегетарианцев",1500,43,4.5
766,Пицца Пеппе,"Итальянская,Пицца,Европейская",1500,88,4.0
767,BEERBURGERPUB. Бургерная. Пивной бутик.,"Американская,Европейская",1500,33,4.5
768,Ламбик,"Бельгийская,Европейская",1500,41,4.5
769,Му-Му,"Фастфуд,Европейская,Русская,Восточноевропейская,Центральноевропейская,Для веганов",700,93,4.0
770,Романов,"Русская,Центральноевропейская,Средиземноморская,Европейская,Восточноевропейская",1500,45,4.5
771,ВьетКафе,"Вьетнамская,Подходит для вегетарианцев",1500,75,4.0
772,Фаршмаг,Международная,1500,73,4.0
773,"Федя, дичь!",Русская,1500,93,4.0
774,Светлый,"Средиземноморская,Европейская,Подходит для вегетарианцев",3000,82,4.0
775,Андерсон,"Кафе,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,243,4.5
776,Community,"Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,50,4.5
777,Остерия Марио,"Итальянская,Средиземноморская,Европейская",1500,26,4.5
778,Ресторан Бифштекс,"Стейк-хаус,Европейская,Русская",1500,59,4.5
779,Примавера,"Итальянская,Подходит для вегетарианцев",1500,47,4.5
780,Гудман,Стейк-хаус,1500,75,4.5
781,Брикс Бар,"Европейская,Винный бар",1500,68,4.5
782,T.G.I. Фрайдис,"Американская,Стейк-хаус",1500,93,4.0
783,Все Твои Друзья,"Бар,Паб",1500,97,4.0
